,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
9,Allele Condominium,South Boston,02127,47,0,47,41.0,0.0,41.0,6,0,6.0,Ownership,Private,,
10,Alleyne (VUP) CDFI,Roxbury,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
11,Alpine Street Village,Hyde Park,02136,44,0,44,40.0,0.0,40.0,4,0,4.0,Rental,Private,,
13,Amory Foundry (Phase I),Jamaica Plain,02130,23,0,23,18.0,,18.0,5,0,5.0,Ownership,Private,,
18,Andrade (VUP),Dorchester,02122,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
19,Andrew Square Apts,South Boston,02127,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
24,Armory Condos,Charlestown,02129,42,0,42,36.0,0.0,36.0,6,0,6.0,Ownership,Private,,
27,Astoria Street Condos (Elizabeth Street),Mattapan,02126,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,
29,Atrium Lofts,East Boston,02128,218,0,218,186.0,0.0,186.0,32,0,32.0,Ownership ,Private,,
40,Back of the Hill HOP,Mission Hill,02120,149,0,149,58.0,0.0,58.0,91,0,91.0,Ownership,Private,,
41,Bailey (VUP),Roxbury,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
43,Balina Place at Norfolk St/Habitat,Dorchester,02124,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,
45,Baptista (VUP),Dorchester,02125,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
46,Barlett Square,Jamaica Plain,02130,13,0,13,11.0,0.0,11.0,2,0,2.0,Ownership,Private,,
48,Bartlett Place Building E,Roxbury,02119,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,
49,Bartlett Place/Building B,Roxbury,02119,60,0,60,22.0,22.0,0.0,38,38,0.0,Rental,Private,,
50,Basilica (667-6),Charlestown,02129,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Public,Y,
51,Bates School/Artblock 731,South End,02118,54,0,54,30.0,0.0,30.0,24,0,24.0,Ownership,Private,,
54,Bay Cove Group Homes IV,Dorchester,02125,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,
58,Beasley (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
61,"Berkeley Investments, Inc.",South Boston Waterfront,02127,88,0,88,80.0,0.0,80.0,8,0,8.0,Ownership,Private,,
63,BHA Infill 1A - Quincy Geneva,Roxbury,02121,18,0,18,0.0,0.0,0.0,18,0,18.0,Ownership,Private,,
64,BHA Infill 1B - Codman Square NDC,Dorchester,02124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,
65,BHA Infill 2 - Urban Edge,Roxbury,02119,15,5,10,0.0,0.0,0.0,15,5,10.0,Ownership/Rental,Private,,
66,BHA Infill 3 - Nuestra,Roxbury,02119,10,4,6,0.0,0.0,0.0,10,4,6.0,Ownership/Rental,Private,,
76,Bird St. Estates,Roxbury,02125,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,
80,Blandino Farms,Dorchester,02124,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,
83,Blue Hill Commons,Roxbury,02119,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,
85,Border Falcon Condominiums,East Boston,02128,14,0,14,0.0,0.0,0.0,14,0,14.0,Ownership,Private,,
87,Boston Kenmore Realty LLC,Leather District,02111,54,0,54,49.0,0.0,49.0,5,0,5.0,Ownership,Private,,
94,Bowdoin Geneva Phase III (HOME AGAIN),Dorchester,02122,20,2,18,0.0,0.0,0.0,20,2,18.0,Ownership/Rental,Private,,
95,Bowdoin Place,Downtown,02114,75,0,75,56.0,0.0,56.0,19,0,19.0,Ownership,Private,Y,
97,Bowdoin/Geneva - HOME AGAIN,Dorchester,02125,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,
98,Bowdoin/Geneva (Phase II),Dorchester,02125,10,5,5,2.0,1.0,1.0,8,4,4.0,Ownership/Rental,Private,,
99,Bowdoin-Geneva & Dudley FTHB,Dorchester,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
100,Bowdoin-Geneva & Dudley Rental,Roxbury,02119,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
101,Bowen (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
104,Bradford Estates,Dorchester,02124,24,0,24,0.0,0.0,0.0,24,0,24.0,Ownership,Private,,
105,Bradlee-Fowler,Dorchester,02124,3,1,2,0.0,0.0,0.0,3,1,2.0,Ownership/Rental,Private,,
108,Brantley (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
109,Braxton (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
110,Brewery Lofts,Mission Hill,02130,79,0,79,71.0,0.0,71.0,8,0,8.0,Ownership,Private,,
117,"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",Roxbury,02125,18,1,17,0.0,0.0,0.0,18,1,17.0,Ownership/Rental,Private,,
118,Brookside Artists Housing,Jamaica Plain,02130,21,0,21,3.0,0.0,3.0,18,0,18.0,Ownership,Private,,
119,Brookview House,Dorchester,02124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
122,Brown (VUP),Dorchester,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
123,"Brown, J & D (VUP)",Roxbury,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
126,Brunswick Street,Dorchester,02121,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
127,Brush Hill Commons,Jamaica Plain,02130,14,0,14,8.0,0.0,8.0,6,0,6.0,Ownership,Private,,
129,Buildable Lots - Codman Square,Dorchester,0nan,6,0,6,1.0,0.0,1.0,5,0,5.0,Ownership,Private,,
130,Buildable Lots - Ferndale,Dorchester,02124,12,0,12,3.0,0.0,3.0,9,0,9.0,Ownership,Private,,
131,Buildable Lots - Uphams,Dorchester,0nan,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,
132,Buildable Lots- 1&2,Dorchester,02124,15,0,15,6.0,0.0,6.0,9,0,9.0,Ownership,Private,,
133,Buildable Lots- 3&4,Dorchester,0nan,18,0,18,8.0,0.0,8.0,10,0,10.0,Ownership,Private,,
134,Buildable Lots- 5,Dorchester,02124,9,0,9,0.0,0.0,0.0,9,0,9.0,Ownership,Private,,
135,Buildable Lots- 6,Mattapan,02126,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,
141,Call Carolina Homes,Jamaica Plain,02130,8,0,8,0.0,0.0,0.0,8,0,8.0,Ownership,Private,,
142,Callender|Floyd|Stratton NHI 1,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
143,Callender|Floyd|Stratton NHI 2,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
144,Callender|Floyd|Stratton NHI 3,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
145,Callender|Floyd|Stratton NHI 4,Mattapan,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
146,Callender|Floyd|Stratton NHI 5,Mattapan,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
147,Callender|Floyd|Stratton NHI 6,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
148,Callender|Floyd|Stratton NHI 7,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
149,Callender|Floyd|Stratton NHI 8,Mattapan,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
150,Callender|Floyd|Stratton NHI 9,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
151,Callender|Tucker NHI 1,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
152,Callender|Tucker NHI 2,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
153,Callender|Tucker NHI 3,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
154,Callender|Tucker NHI 4,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
157,Capen Green,Dorchester,02124,18,0,18,0.0,0.0,0.0,18,0,18.0,Ownership,Private,,
158,Cardella (VUP),South Boston,02127,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
164,Carlton Wharf,East Boston,02128,30,0,30,0.0,0.0,0.0,30,0,30.0,Ownership,Private,,
166,Carroll (VUP),Roxbury,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
167,Carvalho (VUP),Dorchester,02122,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
168,Cary Cottage,Roxbury,02119,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,
169,Casa Familias Unidas,Roxbury,02119,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
171,Casa Nueva Vida,Jamaica Plain,02130,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,
177,Ceinture (20 W Fifth),South Boston,02127,54,0,54,44.0,0.0,44.0,10,0,10.0,Ownership,Private,,
181,Chaisson (VUP),Dorchester,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
182,Channel View Condominiums,South Boston,02127,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,
183,Channel Wharf,South Boston,02127,45,0,45,40.0,0.0,40.0,5,0,5.0,Ownership,Private,,
188,Charles Street Gardens,Charlestown,02129,21,0,21,14.0,0.0,14.0,7,0,7.0,Ownership,Private,,
189,Charlesbank Cooperative Corporation,Mission Hill,02120,276,0,276,274.0,0.0,274.0,2,0,2.0,Cooperative,Private,,
192,Charlestown Navy Yard Row Houses,Charlestown,02129,50,0,50,34.0,0.0,34.0,16,0,16.0,Ownership,Private,,
196,Chestnut Avenue (p/o Self Help Apts),Jamaica Plain,02130,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
197,Chestnut Hill Gardens,Brighton,02135,36,0,36,32.0,0.0,32.0,4,0,4.0,Ownership,Private,,
198,Chestnut Hill Park,Brighton,02135,47,0,47,45.0,0.0,45.0,2,0,2.0,Ownership,Private,,
199,Chestnut Hill Waterworks,Brighton,02135,108,0,108,97.0,0.0,97.0,11,0,11.0,Ownership,Private,,
204,Clarendon Square,South End,02116,60,0,60,51.0,0.0,51.0,9,0,9.0,Ownership,Private,,
205,Clarendon-Warren Condominium,South End,02116,31,0,31,21.0,0.0,21.0,10,0,10.0,Ownership,Private,,
207,Cliffmont Condominium,Roslindale,02131,90,0,90,89.0,0.0,89.0,1,0,1.0,Ownership,Private,,
209,Codman Commons,Dorchester,02124,28,0,28,11.0,0.0,11.0,17,0,17.0,Ownership,Private,,
212,Columbia Road/Lighthouse,Dorchester,02125,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
221,Condor-Havre Garden Apartments,East Boston,02128,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,
224,Coppersmith Village Ownership,East Boston,02128,15,0,15,7.0,0.0,7.0,8,0,8.0,Ownership,Private,,
227,Costello Homes,South Boston,02127,15,0,15,7.0,0.0,7.0,8,0,8.0,Ownership,Private,,
232,Courtyard at Cedar Grove,Dorchester,02124,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,
235,Crawford House Apts,Roxbury,02121,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,Y
236,Creighton Commons Condominiums,Jamaica Plain,02130,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
239,D4 Police Station,South End,02136,26,0,26,24.0,0.0,24.0,2,0,2.0,Ownership,Private,,
240,Dacia Residence at Beauford Green,Roxbury,02125,29,0,29,0.0,0.0,0.0,29,0,29.0,Ownership,Private,,
242,DaRosa (VUP),Dorchester,02122,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
245,Davenport Commons,Roxbury,02120,60,0,60,48.0,0.0,48.0,12,0,12.0,Ownership,Private,,
246,Davis (VUP),Roxbury,02125,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
248,DeMarco (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
250,Dexter Building,Downtown,02111,58,0,58,57.0,0.0,57.0,1,0,1.0,Ownership,Private,,
251,DiGirolamo (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
252,Dillon (VUP),Dorchester,02122,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
254,Dirigo Spice Building,South Boston,02127,17,0,17,16.0,0.0,16.0,1,0,1.0,Ownership,Private,,
255,Disilvio (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
258,DNA Lofts,Dorchester,02125,59,0,59,51.0,0.0,51.0,8,0,8.0,Ownership,Private,,
259,Domicilia I & II,Dorchester,02122,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,Y,Y
260,Domicilia III,Jamaica Plain,02130,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,Y
263,Dover Lofts,South End,02118,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,
264,Drayton Homes,Dorchester,02125,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,
270,Dumas|Mascot Neighborhood Homes,Dorchester,02124,7,3,4,2.0,1.0,1.0,5,2,3.0,Ownership/Rental,Private,,
271,Dunmore Place,Roxbury,02119,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
272,Dwight St Apts,South End,02118,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
276,East Springfield/Northampton Streets,South End,02118,10,0,10,1.0,0.0,1.0,9,0,9.0,Ownership,Private,,
280,Edson|Peacevale NHI,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
281,Edson|Peacevale NHI (30 Milton),Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Rental,Private,,
282,Edward Everett Square,Dorchester,02125,6,0,6,4.0,0.0,4.0,2,0,2.0,Ownership,Private,,
287,Elven Road,Roslindale,02131,8,3,5,0.0,0.0,0.0,8,3,5.0,Ownership/Rental,Private,,
289,Epps (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
293,Eutaw/Meridian,East Boston,02128,1,0,1,0.0,0.0,0.0,1,0,1.0,Rental,Private,,
298,Fan Pier Parcel C,South Boston Waterfront,02110,108,0,108,106.0,0.0,106.0,2,0,2.0,Ownership,Private,,
299,Fan Pier Parcel D,South Boston Waterfront,02210,120,0,120,116.0,0.0,116.0,4,0,4.0,Ownership,Private,,
303,FDIC Scattered Site Condo Project,Brighton,02135,9,4,5,0.0,0.0,0.0,9,4,5.0,Ownership/Rental,Private,,
307,Fenway Condos,Fenway,02215,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,
308,Fenwick Gardens - Home Again,Dorchester,02125,15,1,14,0.0,0.0,0.0,15,1,14.0,Ownership/Rental,Private,,
309,Fernald State School (689-?),Dorchester,02125,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Public,,
311,First & First (Phase I & II),South Boston,02127,47,0,47,20.0,0.0,20.0,27,0,27.0,Ownership,Private,,
315,Forbes Street Residences,Jamaica Plain,02130,35,0,35,29.0,0.0,29.0,6,0,6.0,Ownership,Private,,
316,Ford (VUP),Mattapan,02126,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
317,Forecaster Building,West End,02114,80,0,80,73.0,0.0,73.0,7,0,7.0,Ownership,Private,,
321,Forest|Vine NHI 1,Roxbury,02119,5,2,3,0.0,0.0,0.0,5,2,3.0,Ownership/Rental,Private,,
322,Forest|Vine NHI 2,Roxbury,02119,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,
324,Fort Point Place,South Boston Waterfront,02210,117,0,117,103.0,0.0,103.0,14,0,14.0,Ownership,Private,,
325,Foster (VUP),Roxbury,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
326,Fountain Hill,Roxbury,02119,46,0,46,26.0,0.0,26.0,20,0,20.0,Ownership,Private,,
330,Franklin Field South/Highland Pk Estates,Dorchester,02124,22,4,18,0.0,0.0,0.0,22,4,18.0,Ownership/Rental,Private,,
331,Franklin Fld South II - HOME AGAIN,Dorchester,02124,23,1,22,0.0,0.0,0.0,23,1,22.0,Ownership/Rental,Private,,
338,Friend's House,Jamaica Plain,02130,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
339,Fulton Court Condominium,North End,02109,67,0,67,61.0,0.0,61.0,6,0,6.0,Ownership,Private,,
342,Gardner Flats Condominium,Allston,02134,14,0,14,12.0,0.0,12.0,2,0,2.0,Ownership,Private,,
344,Garrison Trotter Phase I - HOME AGAIN,Roxbury,02121,18,2,16,6.0,0.0,6.0,12,2,10.0,Ownership/Rental,Private,,
347,Gateway Terrace - Dover Residences,South End,02119,133,0,133,120.0,0.0,120.0,13,0,13.0,Ownership,Private,,
355,Gleason Street MIHI Package 2,Dorchester,02121,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
357,Glenway|Roxton NHI,Dorchester,02121,6,3,3,0.0,0.0,0.0,6,3,3.0,Ownership/Rental,Private,,
359,Gomes (VUP),Dorchester,02124,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
360,Goodale Rd. - HOME AGAIN,Mattapan,02126,10,5,5,0.0,0.0,0.0,10,5,5.0,Ownership/Rental,Private,,
361,Gordon's Wood,West Roxbury,02132,42,0,42,37.0,0.0,37.0,5,0,5.0,Ownership,Private,,
375,Green (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
376,Green (VUP) CDFI,Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
379,Grubow (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
380,Guaetta (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
381,Habitat Arrowhead Site (REMS Land),Dorchester,02121,19,0,19,0.0,0.0,0.0,19,0,19.0,Ownership,Private,,
382,Habitat Balina Pl,Dorchester,02124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,
383,Habitat Bradeen St,Roslindale,02131,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,
384,Habitat Fairland St,Roxbury,02119,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,
385,Habitat Regent Street,Roxbury,02119,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,
386,Habitat Woodbine St,Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
387,Habitat-Woodville Street,Roxbury,02119,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,
393,Hano Homes II,Allston,02134,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,
394,Haraska (VUP),Dorchester,02122,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
396,Harborview Condominiums,South Boston,02127,25,0,25,23.0,0.0,23.0,2,0,2.0,Ownership,Private,,
397,Hargrove (VUP),Roxbury,02119,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
398,Harrison Commons,South End,02118,196,9,187,186.0,0.0,186.0,10,9,1.0,Ownership/Rental,Private,,
404,Hazel Parks,Dorchester,02124,48,0,48,0.0,0.0,0.0,48,0,48.0,Ownership,Private,,
410,Hiawatha|Mattapan Neighborhood Homes,Mattapan,02126,8,2,6,2.0,1.0,1.0,6,1,5.0,Ownership,Private,,
411,Highland Homes at Fort Hill - Home Again,Roxbury,02119,18,0,18,4.0,0.0,4.0,14,0,14.0,Ownership,Private,,
414,Highland Park Estates - Home Again,Roxbury,02119,6,1,5,0.0,0.0,0.0,6,1,5.0,Ownership/Rental,Private,,
415,Highland Park II (Affordable),Roxbury,02119,11,1,10,3.0,0.0,3.0,8,1,7.0,Ownership/Rental,Private,,
416,Hillside Homes at Franklin Park,Jamaica Plain,02130,12,0,12,10.0,0.0,10.0,2,0,2.0,Ownership,Private,,
